# unidata-5.1.0.txt
# Date: 2008-03-04, 10:55:08 PST [KW]
#
# This file defines the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# Copyright (c) 2001-2008 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Diagnostic weight ranges
# Primary weight range:   0200..3266 (12391)
# Secondary weight range: 0020..01DE (447)
# Variant secondaries:    01AF..01B4 (6)
# Digit secondaries:      01B5..01DE (42)
# Tertiary weight range:  0002..001F (30)
#
@version 5.1.0

0109  ; [.116F.0020.0002.0063][.0000.003C.0002.0302] # LATIN SMALL LETTER C WITH CIRCUMFLEX; QQCM
0108  ; [.116F.0020.0008.0043][.0000.003C.0002.0302] # LATIN CAPITAL LETTER C WITH CIRCUMFLEX; QQCM
010D  ; [.116F.0020.0002.0063][.0000.0041.0002.030C] # LATIN SMALL LETTER C WITH CARON; QQCM
010C  ; [.116F.0020.0008.0043][.0000.0041.0002.030C] # LATIN CAPITAL LETTER C WITH CARON; QQCM
010B  ; [.116F.0020.0002.0063][.0000.0052.0002.0307] # LATIN SMALL LETTER C WITH DOT ABOVE; QQCM
010A  ; [.116F.0020.0008.0043][.0000.0052.0002.0307] # LATIN CAPITAL LETTER C WITH DOT ABOVE; QQCM
00E7  ; [.116F.0020.0002.0063][.0000.0056.0002.0327] # LATIN SMALL LETTER C WITH CEDILLA; QQCM
1DD7  ; [.116F.0020.0004.1DD7][.0000.0056.0004.1DD7] # COMBINING LATIN SMALL LETTER C CEDILLA; QQKN
00C7  ; [.116F.0020.0008.0043][.0000.0056.0002.0327] # LATIN CAPITAL LETTER C WITH CEDILLA; QQCM
1E09  ; [.116F.0020.0002.0063][.0000.0056.0002.0327][.0000.0032.0002.0301] # LATIN SMALL LETTER C WITH CEDILLA AND ACUTE; QQCM
1E08  ; [.116F.0020.0008.0043][.0000.0056.0002.0327][.0000.0032.0002.0301] # LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE; QQCM
3388  ; [.116F.0020.001C.3388][.1141.0020.001C.3388][.1262.0020.001F.3388] # SQUARE CAL; QQKN
33C4  ; [.116F.0020.001C.33C4][.116F.0020.001C.33C4] # SQUARE CC; QQKN
33C5  ; [.116F.0020.001C.33C5][.1182.0020.001C.33C5] # SQUARE CD; QQKN
33C6  ; [.116F.0020.001D.33C6][*050B.0020.001C.33C6][.1250.0020.001F.33C6][.11E2.0020.001F.33C6] # SQUARE C OVER KG; QQKN
339D  ; [.116F.0020.001C.339D][.1291.0020.001C.339D] # SQUARE CM; QQKN
33A0  ; [.116F.0020.001C.33A0][.1291.0020.001C.33A0][.1139.0020.001F.33A0] # SQUARE CM SQUARED; QQKN
33A4  ; [.116F.0020.001C.33A4][.1291.0020.001C.33A4][.113A.0020.001F.33A4] # SQUARE CM CUBED; QQKN
2105  ; [.116F.0020.0004.2105][*0325.0020.0004.2105][.12C0.0020.001F.2105] # CARE OF; QQKN
33C7  ; [.116F.0020.001D.33C7][.12C0.0020.001C.33C7][*026A.0020.001F.33C7] # SQUARE CO; QQKN
2106  ; [.116F.0020.0004.2106][*0325.0020.0004.2106][.1385.0020.001F.2106] # CADA UNA; QQKN
1D04  ; [.1173.0020.0002.1D04] # LATIN LETTER SMALL CAPITAL C
023C  ; [.1174.0020.0002.023C] # LATIN SMALL LETTER C WITH STROKE
023B  ; [.1174.0020.0008.023B] # LATIN CAPITAL LETTER C WITH STROKE
0188  ; [.1178.0020.0002.0188] # LATIN SMALL LETTER C WITH HOOK
0187  ; [.1178.0020.0008.0187] # LATIN CAPITAL LETTER C WITH HOOK
0255  ; [.117C.0020.0002.0255] # LATIN SMALL LETTER C WITH CURL
1D9D  ; [.117C.0020.0014.1D9D] # MODIFIER LETTER SMALL C WITH CURL; QQK
2184  ; [.1180.0020.0002.2184] # LATIN SMALL LETTER REVERSED C
2183  ; [.1180.0020.0008.2183] # ROMAN NUMERAL REVERSED ONE HUNDRED
A73F  ; [.1181.0020.0002.A73F] # LATIN SMALL LETTER REVERSED C WITH DOT
A73E  ; [.1181.0020.0008.A73E] # LATIN CAPITAL LETTER REVERSED C WITH DOT
0064  ; [.1182.0020.0002.0064] # LATIN SMALL LETTER D
FF44  ; [.1182.0020.0003.FF44] # FULLWIDTH LATIN SMALL LETTER D; QQK
0369  ; [.1182.0020.0004.0369] # COMBINING LATIN SMALL LETTER D; QQK
217E  ; [.1182.0020.0004.217E] # SMALL ROMAN NUMERAL FIVE HUNDRED; QQK
249F  ; [*02C8.0020.0004.249F][.1182.0020.0004.249F][*02C9.0020.001F.249F] # PARENTHESIZED LATIN SMALL LETTER D; QQKN
2146  ; [.1182.0020.0005.2146] # DOUBLE-STRUCK ITALIC SMALL D; QQK
24D3  ; [.1182.0020.0006.24D3] # CIRCLED LATIN SMALL LETTER D; QQK
0044  ; [.1182.0020.0008.0044] # LATIN CAPITAL LETTER D
FF24  ; [.1182.0020.0009.FF24] # FULLWIDTH LATIN CAPITAL LETTER D; QQK
216E  ; [.1182.0020.000A.216E] # ROMAN NUMERAL FIVE HUNDRED; QQK
2145  ; [.1182.0020.000B.2145] # DOUBLE-STRUCK ITALIC CAPITAL D; QQK
24B9  ; [.1182.0020.000C.24B9] # CIRCLED LATIN CAPITAL LETTER D; QQK
1D48  ; [.1182.0020.0014.1D48] # MODIFIER LETTER SMALL D; QQK
1D30  ; [.1182.0020.001D.1D30] # MODIFIER LETTER CAPITAL D; QQK
010F  ; [.1182.0020.0002.0064][.0000.0041.0002.030C] # LATIN SMALL LETTER D WITH CARON; QQCM
010E  ; [.1182.0020.0008.0044][.0000.0041.0002.030C] # LATIN CAPITAL LETTER D WITH CARON; QQCM
1E0B  ; [.1182.0020.0002.0064][.0000.0052.0002.0307] # LATIN SMALL LETTER D WITH DOT ABOVE; QQCM
1E0A  ; [.1182.0020.0008.0044][.0000.0052.0002.0307] # LATIN CAPITAL LETTER D WITH DOT ABOVE; QQCM
1E11  ; [.1182.0020.0002.0064][.0000.0056.0002.0327] # LATIN SMALL LETTER D WITH CEDILLA; QQCM
1E10  ; [.1182.0020.0008.0044][.0000.0056.0002.0327] # LATIN CAPITAL LETTER D WITH CEDILLA; QQCM
1E0D  ; [.1182.0020.0002.0064][.0000.007A.0002.0323] # LATIN SMALL LETTER D WITH DOT BELOW; QQCM
1E0C  ; [.1182.0020.0008.0044][.0000.007A.0002.0323] # LATIN CAPITAL LETTER D WITH DOT BELOW; QQCM
1E13  ; [.1182.0020.0002.0064][.0000.0086.0002.032D] # LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW; QQCM
1E12  ; [.1182.0020.0008.0044][.0000.0086.0002.032D] # LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW; QQCM
1E0F  ; [.1182.0020.0002.0064][.0000.008A.0002.0331] # LATIN SMALL LETTER D WITH LINE BELOW; QQCM
1E0E  ; [.1182.0020.0008.0044][.0000.008A.0002.0331] # LATIN CAPITAL LETTER D WITH LINE BELOW; QQCM
0111  ; [.1182.0020.0002.0064][.0000.008D.0002.0335] # LATIN SMALL LETTER D WITH STROKE; QQCM
0110  ; [.1182.0020.0008.0044][.0000.008D.0002.0335] # LATIN CAPITAL LETTER D WITH STROKE; QQCM
00F0  ; [.1182.0020.0004.00F0][.0000.01AF.0004.00F0] # LATIN SMALL LETTER ETH; QQKN
1DD9  ; [.1182.0020.0004.1DD9][.0000.01AF.0004.1DD9] # COMBINING LATIN SMALL LETTER ETH; QQKN
00D0  ; [.1182.0020.000A.00D0][.0000.01AF.0004.00D0] # LATIN CAPITAL LETTER ETH; QQKN
1D9E  ; [.1182.0020.0014.1D9E][.0000.01AF.0014.1D9E] # MODIFIER LETTER SMALL ETH; QQKN
1DD8  ; [.1182.0020.0004.1DD8][.0000.01B0.0004.1DD8] # COMBINING LATIN SMALL LETTER INSULAR D; QQKN
A77A  ; [.1182.0020.0004.A77A][.0000.01B0.0004.A77A] # LATIN SMALL LETTER INSULAR D; QQKN
A779  ; [.1182.0020.000A.A779][.0000.01B0.0004.A779] # LATIN CAPITAL LETTER INSULAR D; QQKN
3372  ; [.1182.0020.001C.3372][.1141.0020.001C.3372] # SQUARE DA; QQKN
0238  ; [.1182.0020.0004.0238][.1157.0020.0004.0238] # LATIN SMALL LETTER DB DIGRAPH; QQKN
33C8  ; [.1182.0020.001C.33C8][.1157.0020.001D.33C8] # SQUARE DB; QQKN
3397  ; [.1182.0020.001C.3397][.1262.0020.001C.3397] # SQUARE DL; QQKN
3377  ; [.1182.0020.001C.3377][.1291.0020.001C.3377] # SQUARE DM; QQKN
3378  ; [.1182.0020.001C.3378][.1291.0020.001C.3378][.1139.0020.001F.3378] # SQUARE DM SQUARED; QQKN
3379  ; [.1182.0020.001C.3379][.1291.0020.001C.3379][.113A.0020.001F.3379] # SQUARE DM CUBED; QQKN
01F3  ; [.1182.0020.0004.01F3][.13DF.0020.0004.01F3] # LATIN SMALL LETTER DZ; QQKN
02A3  ; [.1182.0020.0004.02A3][.13DF.0020.0004.02A3] # LATIN SMALL LETTER DZ DIGRAPH; QQKN
01F2  ; [.1182.0020.000A.01F2][.13DF.0020.0004.01F2] # LATIN CAPITAL LETTER D WITH SMALL LETTER Z; QQKN
01F1  ; [.1182.0020.000A.01F1][.13DF.0020.000A.01F1] # LATIN CAPITAL LETTER DZ; QQKN
01C6  ; [.1182.0020.0004.01C6][.13DF.0020.0004.01C6][.0000.0041.001F.01C6] # LATIN SMALL LETTER DZ WITH CARON; QQKN
01C5  ; [.1182.0020.000A.01C5][.13DF.0020.0004.01C5][.0000.0041.001F.01C5] # LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON; QQKN
01C4  ; [.1182.0020.000A.01C4][.13DF.0020.000A.01C4][.0000.0041.001F.01C4] # LATIN CAPITAL LETTER DZ WITH CARON; QQKN
02A5  ; [.1182.0020.0004.02A5][.13F2.0020.0004.02A5] # LATIN SMALL LETTER DZ DIGRAPH WITH CURL; QQKN
02A4  ; [.1182.0020.0004.02A4][.13FC.0020.0004.02A4] # LATIN SMALL LETTER DEZH DIGRAPH; QQKN
1D05  ; [.1186.0020.0002.1D05] # LATIN LETTER SMALL CAPITAL D
1D06  ; [.1187.0020.0002.1D06] # LATIN LETTER SMALL CAPITAL ETH
1D6D  ; [.1188.0020.0002.1D6D] # LATIN SMALL LETTER D WITH MIDDLE TILDE
1D81  ; [.1189.0020.0002.1D81] # LATIN SMALL LETTER D WITH PALATAL HOOK
0256  ; [.118A.0020.0002.0256] # LATIN SMALL LETTER D WITH TAIL
0189  ; [.118A.0020.0008.0189] # LATIN CAPITAL LETTER AFRICAN D
0257  ; [.118E.0020.0002.0257] # LATIN SMALL LETTER D WITH HOOK
018A  ; [.118E.0020.0008.018A] # LATIN CAPITAL LETTER D WITH HOOK
1D91  ; [.1192.0020.0002.1D91] # LATIN SMALL LETTER D WITH HOOK AND TAIL
018C  ; [.1193.0020.0002.018C] # LATIN SMALL LETTER D WITH TOPBAR
018B  ; [.1193.0020.0008.018B] # LATIN CAPITAL LETTER D WITH TOPBAR
0221  ; [.1197.0020.0002.0221] # LATIN SMALL LETTER D WITH CURL
A771  ; [.119B.0020.0002.A771] # LATIN SMALL LETTER DUM
1E9F  ; [.119C.0020.0002.1E9F] # LATIN SMALL LETTER DELTA
0065  ; [.119D.0020.0002.0065] # LATIN SMALL LETTER E
FF45  ; [.119D.0020.0003.FF45] # FULLWIDTH LATIN SMALL LETTER E; QQK
0364  ; [.119D.0020.0004.0364] # COMBINING LATIN SMALL LETTER E; QQK
24A0  ; [*02C8.0020.0004.24A0][.119D.0020.0004.24A0][*02C9.0020.001F.24A0] # PARENTHESIZED LATIN SMALL LETTER E; QQKN
212F  ; [.119D.0020.0005.212F] # SCRIPT SMALL E; QQK
2147  ; [.119D.0020.0005.2147] # DOUBLE-STRUCK ITALIC SMALL E; QQK
24D4  ; [.119D.0020.0006.24D4] # CIRCLED LATIN SMALL LETTER E; QQK
0045  ; [.119D.0020.0008.0045] # LATIN CAPITAL LETTER E
FF25  ; [.119D.0020.0009.FF25] # FULLWIDTH LATIN CAPITAL LETTER E; QQK
2130  ; [.119D.0020.000B.2130] # SCRIPT CAPITAL E; QQK
24BA  ; [.119D.0020.000C.24BA] # CIRCLED LATIN CAPITAL LETTER E; QQK
1D49  ; [.119D.0020.0014.1D49] # MODIFIER LETTER SMALL E; QQK
2091  ; [.119D.0020.0015.2091] # LATIN SUBSCRIPT SMALL LETTER E; QQK
1D31  ; [.119D.0020.001D.1D31] # MODIFIER LETTER CAPITAL E; QQK
00E9  ; [.119D.0020.0002.0065][.0000.0032.0002.0301] # LATIN SMALL LETTER E WITH ACUTE; QQCM
00C9  ; [.119D.0020.0008.0045][.0000.0032.0002.0301] # LATIN CAPITAL LETTER E WITH ACUTE; QQCM
00E8  ; [.119D.0020.0002.0065][.0000.0035.0002.0300] # LATIN SMALL LETTER E WITH GRAVE; QQCM
00C8  ; [.119D.0020.0008.0045][.0000.0035.0002.0300] # LATIN CAPITAL LETTER E WITH GRAVE; QQCM
0115  ; [.119D.0020.0002.0065][.0000.0037.0002.0306] # LATIN SMALL LETTER E WITH BREVE; QQCM
0114  ; [.119D.0020.0008.0045][.0000.0037.0002.0306] # LATIN CAPITAL LETTER E WITH BREVE; QQCM
00EA  ; [.119D.0020.0002.0065][.0000.003C.0002.0302] # LATIN SMALL LETTER E WITH CIRCUMFLEX; QQCM
00CA  ; [.119D.0020.0008.0045][.0000.003C.0002.0302] # LATIN CAPITAL LETTER E WITH CIRCUMFLEX; QQCM
1EBF  ; [.119D.0020.0002.0065][.0000.003C.0002.0302][.0000.0032.0002.0301] # LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE; QQCM
1EBE  ; [.119D.0020.0008.0045][.0000.003C.0002.0302][.0000.0032.0002.0301] # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE; QQCM
1EC1  ; [.119D.0020.0002.0065][.0000.003C.0002.0302][.0000.0035.0002.0300] # LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE; QQCM
1EC0  ; [.119D.0020.0008.0045][.0000.003C.0002.0302][.0000.0035.0002.0300] # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE; QQCM
1EC5  ; [.119D.0020.0002.0065][.0000.003C.0002.0302][.0000.004E.0002.0303] # LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE; QQCM
1EC4  ; [.119D.0020.0008.0045][.0000.003C.0002.0302][.0000.004E.0002.0303] # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE; QQCM
1EC3  ; [.119D.0020.0002.0065][.0000.003C.0002.0302][.0000.0060.0002.0309] # LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE; QQCM
1EC2  ; [.119D.0020.0008.0045][.0000.003C.0002.0302][.0000.0060.0002.0309] # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE; QQCM
011B  ; [.119D.0020.0002.0065][.0000.0041.0002.030C] # LATIN SMALL LETTER E WITH CARON; QQCM
011A  ; [.119D.0020.0008.0045][.0000.0041.0002.030C] # LATIN CAPITAL LETTER E WITH CARON; QQCM
00EB  ; [.119D.0020.0002.0065][.0000.0047.0002.0308] # LATIN SMALL LETTER E WITH DIAERESIS; QQCM
00CB  ; [.119D.0020.0008.0045][.0000.0047.0002.0308] # LATIN CAPITAL LETTER E WITH DIAERESIS; QQCM
1EBD  ; [.119D.0020.0002.0065][.0000.004E.0002.0303] # LATIN SMALL LETTER E WITH TILDE; QQCM
1EBC  ; [.119D.0020.0008.0045][.0000.004E.0002.0303] # LATIN CAPITAL LETTER E WITH TILDE; QQCM
0117  ; [.119D.0020.0002.0065][.0000.0052.0002.0307] # LATIN SMALL LETTER E WITH DOT ABOVE; QQCM
0116  ; [.119D.0020.0008.0045][.0000.0052.0002.0307] # LATIN CAPITAL LETTER E WITH DOT ABOVE; QQCM
0229  ; [.119D.0020.0002.0065][.0000.0056.0002.0327] # LATIN SMALL LETTER E WITH CEDILLA; QQCM
0228  ; [.119D.0020.0008.0045][.0000.0056.0002.0327] # LATIN CAPITAL LETTER E WITH CEDILLA; QQCM
1E1D  ; [.119D.0020.0002.0065][.0000.0056.0002.0327][.0000.0037.0002.0306] # LATIN SMALL LETTER E WITH CEDILLA AND BREVE; QQCM
1E1C  ; [.119D.0020.0008.0045][.0000.0056.0002.0327][.0000.0037.0002.0306] # LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE; QQCM
0119  ; [.119D.0020.0002.0065][.0000.0059.0002.0328] # LATIN SMALL LETTER E WITH OGONEK; QQCM
0118  ; [.119D.0020.0008.0045][.0000.0059.0002.0328] # LATIN CAPITAL LETTER E WITH OGONEK; QQCM
0113  ; [.119D.0020.0002.0065][.0000.005B.0002.0304] # LATIN SMALL LETTER E WITH MACRON; QQCM
0112  ; [.119D.0020.0008.0045][.0000.005B.0002.0304] # LATIN CAPITAL LETTER E WITH MACRON; QQCM
1E17  ; [.119D.0020.0002.0065][.0000.005B.0002.0304][.0000.0032.0002.0301] # LATIN SMALL LETTER E WITH MACRON AND ACUTE; QQCM
1E16  ; [.119D.0020.0008.0045][.0000.005B.0002.0304][.0000.0032.0002.0301] # LATIN CAPITAL LETTER E WITH MACRON AND ACUTE; QQCM
1E15  ; [.119D.0020.0002.0065][.0000.005B.0002.0304][.0000.0035.0002.0300] # LATIN SMALL LETTER E WITH MACRON AND GRAVE; QQCM
1E14  ; [.119D.0020.0008.0045][.0000.005B.0002.0304][.0000.0035.0002.0300] # LATIN CAPITAL LETTER E WITH MACRON AND GRAVE; QQCM
1EBB  ; [.119D.0020.0002.0065][.0000.0060.0002.0309] # LATIN SMALL LETTER E WITH HOOK ABOVE; QQCM
1EBA  ; [.119D.0020.0008.0045][.0000.0060.0002.0309] # LATIN CAPITAL LETTER E WITH HOOK ABOVE; QQCM
0205  ; [.119D.0020.0002.0065][.0000.0063.0002.030F] # LATIN SMALL LETTER E WITH DOUBLE GRAVE; QQCM
0204  ; [.119D.0020.0008.0045][.0000.0063.0002.030F] # LATIN CAPITAL LETTER E WITH DOUBLE GRAVE; QQCM
0207  ; [.119D.0020.0002.0065][.0000.0065.0002.0311] # LATIN SMALL LETTER E WITH INVERTED BREVE; QQCM
0206  ; [.119D.0020.0008.0045][.0000.0065.0002.0311] # LATIN CAPITAL LETTER E WITH INVERTED BREVE; QQCM
1EB9  ; [.119D.0020.0002.0065][.0000.007A.0002.0323] # LATIN SMALL LETTER E WITH DOT BELOW; QQCM
1EB8  ; [.119D.0020.0008.0045][.0000.007A.0002.0323] # LATIN CAPITAL LETTER E WITH DOT BELOW; QQCM
1EC7  ; [.119D.0020.0002.0065][.0000.007A.0002.0323][.0000.003C.0002.0302] # LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW; QQCM
1EC6  ; [.119D.0020.0008.0045][.0000.007A.0002.0323][.0000.003C.0002.0302] # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW; QQCM
1E19  ; [.119D.0020.0002.0065][.0000.0086.0002.032D] # LATIN SMALL LETTER E WITH CIRCUMFLEX BELOW; QQCM
1E18  ; [.119D.0020.0008.0045][.0000.0086.0002.032D] # LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW; QQCM
1E1B  ; [.119D.0020.0002.0065][.0000.0089.0002.0330] # LATIN SMALL LETTER E WITH TILDE BELOW; QQCM
1E1A  ; [.119D.0020.0008.0045][.0000.0089.0002.0330] # LATIN CAPITAL LETTER E WITH TILDE BELOW; QQCM
32CD  ; [.119D.0020.001C.32CD][.130C.0020.001C.32CD][.11E2.0020.001F.32CD] # SQUARE ERG; QQKN
32CE  ; [.119D.0020.001C.32CE][.13AD.0020.001D.32CE] # SQUARE EV; QQKN
1D07  ; [.11A1.0020.0002.1D07] # LATIN LETTER SMALL CAPITAL E
0247  ; [.11A2.0020.0002.0247] # LATIN SMALL LETTER E WITH STROKE
0246  ; [.11A2.0020.0008.0246] # LATIN CAPITAL LETTER E WITH STROKE
1D92  ; [.11A6.0020.0002.1D92] # LATIN SMALL LETTER E WITH RETROFLEX HOOK
2C78  ; [.11A7.0020.0002.2C78] # LATIN SMALL LETTER E WITH NOTCH
01DD  ; [.11A8.0020.0002.01DD] # LATIN SMALL LETTER TURNED E
018E  ; [.11A8.0020.0008.018E] # LATIN CAPITAL LETTER REVERSED E
1D32  ; [.11A8.0020.001D.1D32] # MODIFIER LETTER CAPITAL REVERSED E; QQK
2C7B  ; [.11AC.0020.0002.2C7B] # LATIN LETTER SMALL CAPITAL TURNED E
0259  ; [.11AD.0020.0002.0259] # LATIN SMALL LETTER SCHWA
018F  ; [.11AD.0020.0008.018F] # LATIN CAPITAL LETTER SCHWA
1D4A  ; [.11AD.0020.0014.1D4A] # MODIFIER LETTER SMALL SCHWA; QQK
2094  ; [.11AD.0020.0015.2094] # LATIN SUBSCRIPT SMALL LETTER SCHWA; QQK
1D95  ; [.11B1.0020.0002.1D95] # LATIN SMALL LETTER SCHWA WITH RETROFLEX HOOK
025B  ; [.11B2.0020.0002.025B] # LATIN SMALL LETTER OPEN E
0190  ; [.11B2.0020.0008.0190] # LATIN CAPITAL LETTER OPEN E
2107  ; [.11B2.0020.000A.2107] # EULER CONSTANT; QQK
1D4B  ; [.11B2.0020.0014.1D4B] # MODIFIER LETTER SMALL OPEN E; QQK
1D93  ; [.11B6.0020.0002.1D93] # LATIN SMALL LETTER OPEN E WITH RETROFLEX HOOK
0258  ; [.11B7.0020.0002.0258] # LATIN SMALL LETTER REVERSED E
025A  ; [.11BB.0020.0002.025A] # LATIN SMALL LETTER SCHWA WITH HOOK
025C  ; [.11BF.0020.0002.025C] # LATIN SMALL LETTER REVERSED OPEN E
1D9F  ; [.11BF.0020.0014.1D9F] # MODIFIER LETTER SMALL REVERSED OPEN E; QQK
1D94  ; [.11C3.0020.0002.1D94] # LATIN SMALL LETTER REVERSED OPEN E WITH RETROFLEX HOOK
1D08  ; [.11C4.0020.0002.1D08] # LATIN SMALL LETTER TURNED OPEN E
1D4C  ; [.11C4.0020.0014.1D4C] # MODIFIER LETTER SMALL TURNED OPEN E; QQK
025D  ; [.11C5.0020.0002.025D] # LATIN SMALL LETTER REVERSED OPEN E WITH HOOK
025E  ; [.11C9.0020.0002.025E] # LATIN SMALL LETTER CLOSED REVERSED OPEN E
029A  ; [.11CD.0020.0002.029A] # LATIN SMALL LETTER CLOSED OPEN E
0264  ; [.11D1.0020.0002.0264] # LATIN SMALL LETTER RAMS HORN
0066  ; [.11D5.0020.0002.0066] # LATIN SMALL LETTER F
FF46  ; [.11D5.0020.0003.FF46] # FULLWIDTH LATIN SMALL LETTER F; QQK
24A1  ; [*02C8.0020.0004.24A1][.11D5.0020.0004.24A1][*02C9.0020.001F.24A1] # PARENTHESIZED LATIN SMALL LETTER F; QQKN
24D5  ; [.11D5.0020.0006.24D5] # CIRCLED LATIN SMALL LETTER F; QQK
0046  ; [.11D5.0020.0008.0046] # LATIN CAPITAL LETTER F
FF26  ; [.11D5.0020.0009.FF26] # FULLWIDTH LATIN CAPITAL LETTER F; QQK
2109  ; [*03FE.0020.0004.2109][.11D5.0020.000A.2109] # DEGREE FAHRENHEIT; QQKN
2131  ; [.11D5.0020.000B.2131] # SCRIPT CAPITAL F; QQK
24BB  ; [.11D5.0020.000C.24BB] # CIRCLED LATIN CAPITAL LETTER F; QQK
1E1F  ; [.11D5.0020.0002.0066][.0000.0052.0002.0307] # LATIN SMALL LETTER F WITH DOT ABOVE; QQCM
1E1E  ; [.11D5.0020.0008.0046][.0000.0052.0002.0307] # LATIN CAPITAL LETTER F WITH DOT ABOVE; QQCM
A77C  ; [.11D5.0020.0004.A77C][.0000.01B0.0004.A77C] # LATIN SMALL LETTER INSULAR F; QQKN
A77B  ; [.11D5.0020.000A.A77B][.0000.01B0.0004.A77B] # LATIN CAPITAL LETTER INSULAR F; QQKN
213B  ; [.11D5.0020.000A.213B][.1141.0020.000A.213B][.13C9.0020.001F.213B] # FACSIMILE SIGN; QQKN
FB00  ; [.11D5.0020.0004.FB00][.11D5.0020.0004.FB00] # LATIN SMALL LIGATURE FF; QQKN
FB03  ; [.11D5.0020.0004.FB03][.11D5.0020.0004.FB03][.121E.0020.001F.FB03] # LATIN SMALL LIGATURE FFI; QQKN
FB04  ; [.11D5.0020.0004.FB04][.11D5.0020.0004.FB04][.1262.0020.001F.FB04] # LATIN SMALL LIGATURE FFL; QQKN
FB01  ; [.11D5.0020.0004.FB01][.121E.0020.0004.FB01] # LATIN SMALL LIGATURE FI; QQKN
FB02  ; [.11D5.0020.0004.FB02][.1262.0020.0004.FB02] # LATIN SMALL LIGATURE FL; QQKN
3399  ; [.11D5.0020.001C.3399][.1291.0020.001C.3399] # SQUARE FM; QQKN
02A9  ; [.11D5.0020.0004.02A9][.12BC.0020.0004.02A9] # LATIN SMALL LETTER FENG DIGRAPH; QQKN
A730  ; [.11D9.0020.0002.A730] # LATIN LETTER SMALL CAPITAL F
0192  ; [.11DC.0020.0002.0192] # LATIN SMALL LETTER F WITH HOOK
0191  ; [.11DC.0020.0008.0191] # LATIN CAPITAL LETTER F WITH HOOK
214E  ; [.11E0.0020.0002.214E] # TURNED SMALL F
2132  ; [.11E0.0020.0008.2132] # TURNED CAPITAL F
A7FB  ; [.11E1.0020.0002.A7FB] # LATIN EPIGRAPHIC LETTER REVERSED F
0067  ; [.11E2.0020.0002.0067] # LATIN SMALL LETTER G
FF47  ; [.11E2.0020.0003.FF47] # FULLWIDTH LATIN SMALL LETTER G; QQK
24A2  ; [*02C8.0020.0004.24A2][.11E2.0020.0004.24A2][*02C9.0020.001F.24A2] # PARENTHESIZED LATIN SMALL LETTER G; QQKN
210A  ; [.11E2.0020.0005.210A] # SCRIPT SMALL G; QQK
24D6  ; [.11E2.0020.0006.24D6] # CIRCLED LATIN SMALL LETTER G; QQK
0047  ; [.11E2.0020.0008.0047] # LATIN CAPITAL LETTER G
FF27  ; [.11E2.0020.0009.FF27] # FULLWIDTH LATIN CAPITAL LETTER G; QQK
24BC  ; [.11E2.0020.000C.24BC] # CIRCLED LATIN CAPITAL LETTER G; QQK
01F5  ; [.11E2.0020.0002.0067][.0000.0032.0002.0301] # LATIN SMALL LETTER G WITH ACUTE; QQCM
01F4  ; [.11E2.0020.0008.0047][.0000.0032.0002.0301] # LATIN CAPITAL LETTER G WITH ACUTE; QQCM
011F  ; [.11E2.0020.0002.0067][.0000.0037.0002.0306] # LATIN SMALL LETTER G WITH BREVE; QQCM
011E  ; [.11E2.0020.0008.0047][.0000.0037.0002.0306] # LATIN CAPITAL LETTER G WITH BREVE; QQCM
011D  ; [.11E2.0020.0002.0067][.0000.003C.0002.0302] # LATIN SMALL LETTER G WITH CIRCUMFLEX; QQCM
011C  ; [.11E2.0020.0008.0047][.0000.003C.0002.0302] # LATIN CAPITAL LETTER G WITH CIRCUMFLEX; QQCM
01E7  ; [.11E2.0020.0002.0067][.0000.0041.0002.030C] # LATIN SMALL LETTER G WITH CARON; QQCM
01E6  ; [.11E2.0020.0008.0047][.0000.0041.0002.030C] # LATIN CAPITAL LETTER G WITH CARON; QQCM
0121  ; [.11E2.0020.0002.0067][.0000.0052.0002.0307] # LATIN SMALL LETTER G WITH DOT ABOVE; QQCM
0120  ; [.11E2.0020.0008.0047][.0000.0052.0002.0307] # LATIN CAPITAL LETTER G WITH DOT ABOVE; QQCM
0123  ; [.11E2.0020.0002.0067][.0000.0056.0002.0327] # LATIN SMALL LETTER G WITH CEDILLA; QQCM
